"timestamp","month","date","time","event-name","location1","location2","link","sponsor","sponsor-link"
"20180505","May","22","5:00pm","Trivia Tuesday","The Pub","15 E Pleasant St, Amherst, MA","The Amherst Pub","http://www.amherstpub.com/",""
"20180606","June","22","Tee Times at 12:00, 5:00 party","Living In A Golfer's Paradise","Hickory Ridge GC","https://www.hickoryridgegc.com/","","",""
"20180707","July","TBD","5:00pm","Joint YP Event","The Drunken Rabbit Brewing","749A New Ludlow Rd, South Hadley, MA","","",""
